# FILENAME: BasicDict-JPN-Kana-4KanjiWords.tsv
# NAME-ENG: Basic Japanese Kana Four-Letter-Kanji Word Dictionary, 10th Edition
# NAME-JPN: 二重マス用四字熟語カナ辞書　第十版
# COPYRIGHT: (C) 2013-2021 katahiromz.
# LICENSE: MIT
# NOTE: ABSOLUTELY NO WARRANTY.
アクセンクトウ	悪戦苦闘
アンチュウモサク	暗中模索
イキトウゴウ	意気投合
イクドウオン	異口同音
イシンデンシン	以心伝心
イチイセンシン	一意専心
イチゴイチエ	一期一会
イチジツセンシュウ	一日千秋
イチネンホッキ	一念発起
イチブシジュウ	一部始終
イチモウダジン	一網打尽
イッキイチユウ	一喜一憂
イッキトウセン	一騎当千
イッキョイチドウ	一挙一動
イッキョリョウトク	一挙両得
イッコクセンキン	一刻千金
イッショクソクハツ	一触即発
イッシンドウタイ	一心同体
イッシンフラン	一心不乱
イッセイチダイ	一世一代
イッセキニチョウ	一石二鳥
イッチョウイッセキ	一朝一夕
イッチョウイッタン	一長一短
イットウリョウダン	一刀両断
イミシンチョウ	意味深長
インガオウホウ	因果応報
ウオウサオウ	右往左往
オカメハチモク	傍目八目
オンコチシン	温故知新
アッコウゾウゴン	悪口雑言
イキショウチン	意気消沈
イキヨウヨウ	意気揚揚
イチイタイスイ	一衣帯水
イチゲンコジ	一言居士
イチゴンハンク	一言半句
イチジセンキン	一字千金
イチボウセンリ	一望千里
イチモクリョウゼン	一目瞭然
イチモンイットウ	一問一答
イチリイチガイ	一利一害
イッカクセンキン	一攫千金
イッサイガッサイ	一切合切
イッショケンメイ	一所懸命
イッチハンカイ	一知半解
イットクイッシツ	一得一失
イフウドウドウ	威風堂々
ウゾウムゾウ	有象無象
ウミセンヤマセン	海千山千
ウヨキョクセツ	紆余曲折
ウンサンムショウ	雲散霧消
エイコセイスイ	栄枯盛衰
カチョウフウゲツ	花鳥風月
ガデンインスイ	我田引水
ガリョウテンセイ	画竜点睛
カンゼンムケツ	完全無欠
キキイッパツ	危機一髪
キシカイセイ	起死回生
キショウテンケツ	起承転結
ギシンアンキ	疑心暗鬼
キソウテンガイ	奇想天外
キドアイラク	喜怒哀楽
ギュウインバショク	牛飲馬食
キュウテンチョッカ	急転直下
ギョクセキコンコウ	玉石混淆
クウゼンゼツゴ	空前絶後
コウゲンレイショク	巧言令色
コウヘイムシ	公平無私
コウメイセイダイ	公明正大
ゴエツドウシュウ	呉越同舟
ゴリムチュウ	五里霧中
ゴンゴドウダン	言語道断
ガシンショウタン	臥薪嘗胆
カロトウセン	夏炉冬扇
