# ただいま作成中。。。
愛国	あいこく。
愛国者	あいこくしゃ。
合言葉	あいことば。
愛人	あいじん。
合図	あいず。
相手	あいて。
愛読書	あいどくしょ
相棒	あいぼう。
合間	あいま。
愛用	あいよう。
愛用品	あいようひん。
青空	あおぞら。
赤子	あかご。
赤土	あかつち。
悪臭	あくしゅう。
握手	あくしゅ。
悪事	あくじ。
悪人	あくにん。
悪役	あくやく。
握力	あくりょく。
足跡	あしあと。
足元	あしもと。
味見	あじみ。
小豆	あずき。
悪化	あっか。
厚着	あつぎ。
圧縮	あっしゅく。
圧勝	あっしょう。
圧力	あつりょく。
外圧	がいあつ。
空気圧	くうきあつ。
後始末	あとしまつ。
脂汗	あぶらあせ。
雨戸	あまど。
米国	べいこく。
在処	ありか。
模様	もよう。
暗雲	あんうん。
積乱雲	せきらんうん。
暗殺	あんさつ。
暗殺者	あんさつしゃ。
安産	あんざん。
暗号	あんごう
暗号文	あんごうぶん。
安心	あんしん。
安全	あんぜん
安定	あんてい
案内	あんない
委員会	いいんかい
遺影	いえい。
胃液	いえき。
胃腸	いちょう。
銀杏	ぎんなん。
家出	いえで。
外出	がいしゅつ。
以外	いがい。
意外	いがい。
医学	いがく。
経緯	いきさつ。
生物	せいぶつ。
英国	えいこく。
意気地	いくじ。
育児	いくじ。
育成	いくせい。
意見	いけん。
遺骨	いこつ。
居心地	いごこち。
異彩	いさい。
石頭	いしあたま。
意識	いしき。
医者	いしゃ。
異臭	いしゅう。
遺書	いしょ。
衣装	いしょう。
以上	いじょう。
異常	いじょう。
医術	いじゅつ。
異性	いせい。
威勢	いせい。
遺跡	いせき。
一月	いちがつ。
一日	ついたち。
二日	ふつか。
三日	みっか。
四日	よっか。
五日	いつか。
八日	ようか。
二十歳	はたち。
二十日	はつか。
一大事	いちだいじ。
一同	いちどう。
市場	いちば。しじょう。
一番	いちばん。
一番星	いちばんぼし。
一枚	いちまい。
胃腸	いちょう。
一流	いちりゅう。
一回	いっかい。
一曲	いっきょく。
一生	いっしょう。
一所懸命	いっしょけんめい
移動	いどう。
居所	いどころ。
井戸端会議	いどばたかいぎ。
田舎者	いなかもの。
稲妻	いなずま。
違反者	いはんしゃ。
衣服	いふく。
異物混入	いぶつこんにゅう。
違法駐車	いほうちゅうしゃ。
意欲	いよく。
依頼者	いらいしゃ。
依頼人	いらいにん。
海豚	いるか。
刺青	いれずみ。
刺身	さしみ。
色男	いろおとこ。
色眼鏡	いろめがね。
異論	いろん。
岩場	いわば。
引火	いんか。
印鑑	いんかん。
隠居	いんきょ。
印刷	いんさつ。
印刷機	いんさつき。
飲酒運転	いんしゅうんてん。
印章	いんしょう。
印象	いんしょう。
飲食	いんしょく。
陰性	いんせい。
陽性	ようせい。
印税	いんぜい。
消費税	しょうひぜい。
所得税	しょとくぜい。
引退	いんたい。
印度	いんど。
陰謀	いんぼう。
引用	いんよう。
引力	いんりょく。
万有引力	ばんゆういんりょく。
魚市場	うおいちば。
受付	うけつけ。
薄着	うすぎ。
右折	うせつ。
左折	させつ。
内側	うちがわ。
外側	そとがわ。
内堀	うちぼり。
宇宙人	うちゅうじん。
雨天決行	うてんけっこう。
乳母車	うばぐるま。
海亀	うみがめ。
海辺	うみべ。
梅酒	うめしゅ。
裏金	うらがね。
裏側	うらがわ。
裏声	うらごえ。
売上	うりあげ。
上着	うわぎ。
下着	したぎ。
運営	うんえい。
経営	けいえい。
経営者	けいえいしゃ。
運河	うんが。
運送料	うんそうりょう。
運転手	うんてんしゅ。
運命	うんめい。
永遠	えいえん。
英会話	えいかいわ。
鋭角	えいかく。
鈍角	どんかく。
永久	えいきゅう。
影響	えいきょう。
営業	えいぎょう。
営業日	えいぎょうび。
休日	きゅうじつ。
衛生	えいせい。
人工衛星	じんこうえいせい。
映像	えいぞう。
英文	えいぶん。
永眠	えいみん。
栄養	えいよう。
栄養士	えいようし。
笑顔	えがお。
液体	えきたい。
駅員	えきいん。
駅長	えきちょう。
駅弁	えきべん。
番組表	ばんぐみひょう。
長期間	ちょうきかん。
長時間	ちょうじかん。
短時間	たんじかん。
短期間	たんきかん。
乾電池	かんでんち。
誤動作	ごどうさ。
誤作動	ごさどう。
取扱説明書	とりあつかいせつめいしょ。
日本製	にほんせい。
令和	れいわ。
開封	かいふう。
早期発見	そうきはっけん。
国保	こくほ。
無料	むりょう。
自覚症状	じかくしょうじょう。
生活習慣	せいかつしゅうかん。
受信	じゅしん。
受診	じゅしん。
信頼度	しんらいど。
供給源	きょうきゅうげん。
相談室	そうだんしつ。
製品	せいひん。
底面	ていめん。
祝日	しゅくじつ。
国連	こくれん。
吸着	きゅうちゃく。
報告書	ほうこくしょ。
確定申告	かくていしんこく。
留意点	りゅういてん。
配当金	はいとうきん。
年間	ねんかん。
月刊	げっかん。
廃止	はいし。
累計	るいけい。
税務署	ぜいむしょ。
音声案内	おんせいあんない。
電話相談	でんわそうだん。
個人事業者	こじんじぎょうしゃ。
法人税	ほうじんぜい。
納税	のうぜい。
職員	しょくいん。
電話機	でんわき。
受話器	じゅわき。
水虫	みずむし。
医薬品	いやくひん。
幹部	かんぶ。
患部	かんぶ。
保管	ほかん。
薬剤師	やくざいし。
直射日光	ちょくしゃにっこう。
顔面	がんめん。
粘膜	ねんまく。
販売者	はんばいしゃ。
成分	せいぶん。
塩酸	えんさん。
電話番号	でんわばんごう。
窓口	まどぐち。
医療機器	いりょうきき。
市町村	しちょうそん。
領収書	りょうしゅうしょ。
紛失防止	ふんしつぼうし。
保証期間	ほしょうきかん。
証明書	しょうめいしょ。
落雷	らくらい。
自信	じしん。
地震	じしん。
天変地異	てんぺんちい。
湿度	しつど。
湿地	しっち。
故障	こしょう。
送料	そうりょう。
負担	ふたん。
日本国	にほんこく。
代金	だいきん。
交換	こうかん。
受付時間	うけつけじかん。
登録商標	とうろくしょうひょう。
原材料名	げんざいりょうめい。
活性炭	かっせいたん。
有効期限	ゆうこうきげん。
鉄粉	てっぷん。
低温	ていおん。
就寝	しゅうしん。
乳幼児	にゅうようじ。
万全	ばんぜん。
不良品	ふりょうひん。
有効期限	ゆうこうきげん。
持続時間	じぞくじかん。
裏面	うらめん。
消臭剤	しょうしゅうざい。
緑茶	りょくちゃ。
布製品	ぬのせいひん。
衣類	いるい。
料理	りょうり。
防止	ぼうし。
船体	せんたい。
表面	ひょうめん。
場合	ばあい。
部屋	へや。
人工皮革	じんこうひかく。
毛皮	けがわ。
心配	しんぱい。
防水加工	ぼうすいかこう。
換気	かんき。
原因	げんいん。
照明器具	しょうめいきぐ。
電気製品	でんきせいひん。
精密機器	せいみつきき。
保管	ほかん。
温度差	おんどさ。
自動車	じどうしゃ。
業務用	ぎょうむよう。
容器	ようき。
気分	きぶん。
風味	ふうみ。
使用後	しようご。
砂糖	さとう。
酸化防止剤	さんかぼうしざい。
食塩	しょくえん。
粉末	ふんまつ。
調味料	ちょうみりょう。
着色料	ちゃくしょくりょう。
賞味期限	しょうみきげん。
保存方法	ほぞんほうほう。
開封後	かいふうご。
調理	ちょうり。
調理師	ちょうりし。
具材	ぐざい。
目安	めやす。
秘密	ひみつ。
豆腐	とうふ。
両面	りょうめん。
高温多湿	こうおんたしつ。
大根	だいこん。
内容量	ないようりょう。
素材	そざい。
製法	せいほう。
密封	みっぷう。
品質	ひんしつ。
酸味料	さんみりょう。
原材料	げんざいりょう。
対象	たいしょう。
栄養	えいよう。
未開封	みかいふう。
植物油脂	しょくぶつゆし。
酢酸	さくさん。
小麦	こむぎ。
大豆	だいず。
乳成分	にゅうせいぶん。
小麦粉	こむぎこ。
株式会社	かぶしきがいしゃ。
消費期限	しょうひきげん。
製造者	せいぞうしゃ。
包装	ほうそう。
放送	ほうそう。
朝食	ちょうしょく。
記載	きさい。
変色	へんしょく。
区分	くぶん。
感想	かんそう。
乾燥機	かんそうき。
廃棄	はいき。
自治体	じちたい。
中性洗剤	ちゅうせいせんざい。
家具	かぐ。
材質	ざいしつ。
掃除	そうじ。
清掃作業	せいそうさぎょう。
界面活性剤	かいめんかっせいざい。
使用方法	しようほうほう。
乾燥剤	かんそうざい。
炭水化物	たんすいかぶつ。
乳化剤	にゅうかざい。
表面	ひょうめん。
割引	わりびき。
高熱	こうねつ。
電子	でんし。
不都合	ふつごう。
液体	えきたい。
油性	ゆせい。
情報	じょうほう。
家電	かでん。
透明	とうめい。
半透明	はんとうめい。
高密度	こうみつど。
企画	きかく。
新規格	しんきかく。
新企画	しんきかく。
規格	きかく。
名詞	めいし。
名刺	めいし。
手間	てま。
温度	おんど。
時間	じかん。
採用	さいよう。
参加	さんか。
参加者	さんかしゃ。
空気	くうき。
空気圧	くうきあつ。
牛乳	ぎゅうにゅう。
製造所	せいぞうしょ。
保存方法	ほぞんほうほう。
工場	こうじょう。
換算	かんざん。
沈殿	ちんでん。
番号	ばんごう。
問題	もんだい。
当選	とうせん。
当選者	とうせんしゃ。
当選番号	とうせんばんごう。
製法	せいほう。
三日月	みかづき。
模様	もよう。
常温	じょうおん。
中火	ちゅうび。
水気	みずけ。
液体	えきたい。
固体	こたい。
完全	かんぜん。
野菜	やさい。
豚肉	ぶたにく。
落花生	らっかせい。
牛肉	ぎゅうにく。
設備	せつび。
漁法	ぎょほう。
採取	さいしゅ。
注意	ちゅうい。
香辛料	こうしんりょう。
色素	しきそ。
食品	しょくひん。
当社比	とうしゃひ。
特製	とくせい。
鉄板	てっぱん。
枠内	わくない。
鶏肉	とりにく。
厚手	あつで。
少量	しょうりょう。
多量	たりょう。
調理	ちょうり。
計量	けいりょう。
脱脂粉乳	だっしふんにゅう。
加工品	かこうひん。
乳化剤	にゅうかざい。
側面	そくめん。
密封容器	みっぷうようき。
減量	げんりょう。
原料	げんりょう。
味見	あじみ。
変化	へんか。
矢印	やじるし。
方向	ほうこう。
反対	はんたい。
外箱	そとばこ。
食感	しょっかん。
保存	ほぞん。
便利	べんり。
水気	みずけ。
冷蔵庫	れいぞうこ。
変質	へんしつ。
発生	はっせい。
大量発生	たいりょうはっせい。
有限会社	ゆうげんがいしゃ。
材質	ざいしつ。
薬品	やくひん。
唐辛子	とうがらし。
最低	さいてい。
最適	さいてき。
沸騰	ふっとう。
沸点	ふってん。
完成	かんせい。
完成品	かんせいひん。
日本酒	にほんしゅ。
魚類	ぎょるい。
脱酸素剤	だつさんそざい。
良質	りょうしつ。
食品衛生法	しょくひんえいせいほう。
左右	さゆう。
清潔	せいけつ。
作業	さぎょう。
弁当	べんとう。
手袋	てぶくろ。
中指	なかゆび。
全長	ぜんちょう。
開口部	かいこうぶ。
写真	しゃしん。
個人差	こじんさ。
兼用	けんよう。
日曜大工	にちようだいく。
園芸	えんげい。
防止	ぼうし。
体質	たいしつ。
感電死	かんでんし。
重量	じゅうりょう。
保管場所	ほかんばしょ。
適合	てきごう。
添加物	てんかぶつ。
不備	ふび。
販売元	はんばいもと。
生命	せいめい。
特徴	とくちょう。
園芸用品	えんげいようひん。
紅茶	こうちゃ。
料理	りょうり。
表示	ひょうじ。
反対側	はんたいがわ。
状態	じょうたい。
簡単	かんたん。
試験	しけん。
分析	ぶんせき。
食品	しょくひん。
再度	さいど。
工程	こうてい。
材料	ざいりょう。
処理	しょり。
特定	とくてい。
定番	ていばん。
食欲	しょくよく。
風味	ふうみ。
厳選	げんせん。
全体	ぜんたい。
動画	どうが。
中辛	ちゅうから。
充分	じゅうぶん。
今日	きょう。
中火	ちゅうび。
薬用	やくよう。
進行	しんこう。
視界	しかい。
歯科医	しかい。
異常	いじょう。
医薬部外品	いやくぶがいひん。
講習	こうしゅう。
口臭	こうしゅう。
上品	じょうひん。
長期保存	ちょうきほぞん。
窓口	まどぐち。
保険	ほけん。
資料請求	しりょうせいきゅう。
死亡保険	しぼうほけん。
通常	つうじょう。
保険料	ほけんりょう。
健康状態	けんこうじょうたい。
重要	じゅうよう。
収集日	しゅうしゅうび。
分別	ぶんべつ。
国道	こくどう。
剣道	けんどう。
西側	にしがわ。
東側	ひがしがわ。
北側	きたがわ。
南側	みなみがわ。
自治区	じちく。
地域	ちいき。
新聞紙	しんぶんし。
雑誌	ざっし。
温度計	おんどけい。
蛍光管	けいこうかん。
体温計	たいおんけい。
古紙	こし。
金属	きんぞく。
毎週	まいしゅう。
無色	むしょく。
医薬品	いやくひん。
手数料	てすうりょう。
運搬	うんぱん。
推進	すいしん。
耐熱	たいねつ。
危険物	きけんぶつ。
未満	みまん。
指定	してい。
応募券	おうぼけん。
毎回	まいかい。
当選	とうせん。
発表	はっぴょう。
発表会	はっぴょうかい。
抽選	ちゅうせん。
抽選会	ちゅうせんかい。
指名	しめい。
氏名	しめい。
住所	じゅうしょ。
自然	しぜん。
浸透	しんとう。
心地	ここち。
洗顔	せんがん。
